"timestamp_ms","timestamp_utc","open","high","low","close","volume"
"1759276800000","2025-09-30T20:00:00Z","113988.7","114045","113988.7","114039",
"1759276860000","2025-09-30T20:01:00Z","114039","114166.6","114038.9","114116.4",
"1759276920000","2025-09-30T20:02:00Z","114116.3","114120","114089.7","114112.9",
"1759276980000","2025-09-30T20:03:00Z","114112.9","114116.2","114096.3","114112.3",
"1759277040000","2025-09-30T20:04:00Z","114112.4","114166.8","114090.8","114166.8",
"1759277100000","2025-09-30T20:05:00Z","114166.8","114195.6","114156.9","114195.6",
"1759277160000","2025-09-30T20:06:00Z","114195.5","114246","114184.4","114200",
"1759277220000","2025-09-30T20:07:00Z","114200.1","114200.1","114154.3","114156",
"1759277280000","2025-09-30T20:08:00Z","114156","114179.4","114126.3","114150",
"1759277340000","2025-09-30T20:09:00Z","114150","114187.9","114136.5","114187.9",
"1759277400000","2025-09-30T20:10:00Z","114187.9","114187.9","114149.2","114149.3",
"1759277460000","2025-09-30T20:11:00Z","114149.3","114154.8","114128.4","114129.2",
"1759277520000","2025-09-30T20:12:00Z","114129.2","114145.4","114121.8","114138.4",
"1759277580000","2025-09-30T20:13:00Z","114138.4","114138.4","114077.4","114077.4",
"1759277640000","2025-09-30T20:14:00Z","114077.4","114098.1","114077.4","114098.1",
"1759277700000","2025-09-30T20:15:00Z","114098","114123.1","114081.6","114081.6",
"1759277760000","2025-09-30T20:16:00Z","114081.7","114102.3","114081.6","114081.8",
"1759277820000","2025-09-30T20:17:00Z","114081.9","114100","114041.4","114041.4",
"1759277880000","2025-09-30T20:18:00Z","114041.4","114080","114041.4","114079.9",
"1759277940000","2025-09-30T20:19:00Z","114079.9","114097.1","114064","114097",
"1759278000000","2025-09-30T20:20:00Z","114097.1","114122.8","114091.8","114100",
"1759278060000","2025-09-30T20:21:00Z","114100","114100.1","114046.5","114046.5",
"1759278120000","2025-09-30T20:22:00Z","114046.6","114046.6","114016.7","114016.8",
"1759278180000","2025-09-30T20:23:00Z","114016.7","114016.8","113902.4","113982.8",
"1759278240000","2025-09-30T20:24:00Z","113982.9","113982.9","113899.7","113931.1",
"1759278300000","2025-09-30T20:25:00Z","113931.1","113976.3","113931.1","113948.6",
"1759278360000","2025-09-30T20:26:00Z","113948.6","113966.3","113905.4","113905.4",
"1759278420000","2025-09-30T20:27:00Z","113905.5","113969.6","113899.4","113969.6",
"1759278480000","2025-09-30T20:28:00Z","113969.6","113988","113935.3","113977.4",
"1759278540000","2025-09-30T20:29:00Z","113977.4","113989.2","113929.2","113960.6",
"1759278600000","2025-09-30T20:30:00Z","113960.7","113987.8","113960.6","113970.6",
"1759278660000","2025-09-30T20:31:00Z","113970.6","114013.3","113923.7","114013.2",
"1759278720000","2025-09-30T20:32:00Z","114013.3","114046.3","114010.6","114042.5",
"1759278780000","2025-09-30T20:33:00Z","114042.5","114090.9","114042.5","114090.9",
"1759278840000","2025-09-30T20:34:00Z","114090.9","114172.1","114090.9","114160.3",
"1759278900000","2025-09-30T20:35:00Z","114160.4","114178.1","114114.2","114127.3",
"1759278960000","2025-09-30T20:36:00Z","114127.3","114132.3","114055.1","114055.1",
"1759279020000","2025-09-30T20:37:00Z","114055.2","114091.6","114041.4","114041.5",
"1759279080000","2025-09-30T20:38:00Z","114041.5","114046.8","114031.3","114046.8",
"1759279140000","2025-09-30T20:39:00Z","114046.8","114055","114019","114043.6",
"1759279200000","2025-09-30T20:40:00Z","114043.6","114043.6","114020","114033.7",
"1759279260000","2025-09-30T20:41:00Z","114033.6","114040","114013","114013",
"1759279320000","2025-09-30T20:42:00Z","114013.1","114013.1","113944.9","113944.9",
"1759279380000","2025-09-30T20:43:00Z","113945","113945","113917.1","113917.1",
"1759279440000","2025-09-30T20:44:00Z","113917.1","113917.2","113906.4","113913.2",
"1759279500000","2025-09-30T20:45:00Z","113913.2","113975.7","113913.2","113975.7",
"1759279560000","2025-09-30T20:46:00Z","113975.6","113995","113975.6","113982.5",
